"SGD_ID"	"Systematic_name"	"Organism"	"Standard_name"	"name"	"Brif description"	"Description"	"Qualifier"	"Function summary"	"Phenotype summary"	"panID"	"Remark"
"S000002981"	"YGL013C"	"S. cerevisiae"	"PDR1"	"Pleiotropic Drug Resistance"	"Transcription factor that regulates the pleiotropic drug response"	"Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog, PDR3, that arose from the whole genome duplication"	"Verified"	"Sequence specific DNA-binding polymerase II transcription factor that activates expression of genes involved in drug response|uniprot_proteome=UP000002311"	"Non-essential gene; null and point mutations confer resistance or sensitivity to various drugs; in large-scale studies, null mutation confers increased competitive fitness in glycerol medium, decreased fitness in minimal medium, and altered resistance to a wide variety of drugs; overexpression causes slow growth"	"3660-YGL013C"	NA
"S000002982"	"YGL014W"	"S. cerevisiae"	"PUF4"	"PUmilio-homology domain Family"	"Member of the PUF protein family"	"Member of the PUF protein family; PUF family is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors"	"Verified"	NA	NA	"3661-YGL014W_NumOfGenes_2"	NA
"S000002983"	"YGL015C"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function; null mutants accumulate cargo in the Golgi"	"Uncharacterized"	"Protein whose biological role is unknown; localizes to the prospore membrane in a large-scale study|uniprot_proteome=UP000002311"	NA	"3662-YGL015C"	NA
"S000002984"	"YGL016W"	"S. cerevisiae"	"KAP122"	"KAryoPherin"	"Karyopherin beta"	"Karyopherin beta; responsible for import of the Toa1p-Toa2p complex into the nucleus; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation of pleiotropic drug resistance"	"Verified"	NA	NA	"3663-YGL016W_NumOfGenes_2"	NA
"S000002985"	"YGL017W"	"S. cerevisiae"	"ATE1"	"Arginyl-tRNA-protein transfErase"	"Arginyl-tRNA-protein transferase"	"Arginyl-tRNA-protein transferase; catalyzes post-translational conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway"	"Verified"	NA	"Non-essential gene; overexpression leads to slow growth; in systematic studies null mutant has slow growth rate, increased competitive fitness, and increased resistance to cycloheximide"	"3664-YGL017W_NumOfGenes_2"	NA
"S000002986"	"YGL018C"	"S. cerevisiae"	"JAC1"	"J-type Accessory Chaperone"	"Specialized J-protein that functions in Fe-S cluster biogenesis"	"Specialized J-protein that functions in Fe-S cluster biogenesis; functions with Hsp70 in Fe-S cluster biogenesis in mitochondria; involved in iron metabolism; contains a J domain typical to J-type chaperones; localizes to the mitochondrial matrix"	"Verified"	"Mitochondrial protein chaperone involved in iron-sulfur cluster assembly and required for aerobic respiration|uniprot_proteome=UP000002311"	"Essential gene; reduction of function leads to slow growth, sensitivity to benomyl, tunicamycin and MMS"	"3665-YGL018C_NumOfGenes_2"	NA
"S000002987"	"YGL019W"	"S. cerevisiae"	"CKB1"	"Casein Kinase Beta subunit"	"Beta regulatory subunit of casein kinase 2 (CK2)"	"Beta regulatory subunit of casein kinase 2 (CK2); a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerases"	"Verified"	NA	NA	"3666-YGL019W_NumOfGenes_2"	NA
"S000002988"	"YGL020C"	"S. cerevisiae"	"GET1"	"Guided Entry of Tail-anchored proteins"	"Subunit of the GET complex"	"Subunit of the GET complex; involved in insertion of proteins into the ER membrane; required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion and for normal mitochondrial morphology and inheritance"	"Verified"	NA	"Non-essential gene; null mutant shows defects in protein retention in ER and is sensitive to elevated temperatures, shows abnormal mitochondrial morphology and defective respiratory growth, also shows sensitivity to antifungal drugs, cell wall-affecting drugs and oxidative stress"	"3667-YGL020C_NumOfGenes_2"	NA
"S000002989"	"YGL021W"	"S. cerevisiae"	"ALK1"	NA	"Protein kinase"	"Protein kinase; along with its paralog, ALK2, required for proper spindle positioning and nuclear segregation following mitotic arrest, proper organization of cell polarity factors in mitosis, proper localization of formins and polarity factors, and survival in cells that activate spindle assembly checkpoint; phosphorylated in response to DNA damage; ALK1 has a paralog, ALK2, that arose from the whole genome duplication; similar to mammalian haspins"	"Verified"	NA	"Non-essential gene; in systematic studies null mutants show reduced anaerobic growth, extended hibernating lifespan and lower competitive fitness; overexpression causes slow growth"	"3668-YGL021W"	NA
"S000002990"	"YGL022W"	"S. cerevisiae"	"STT3"	"STaurosporine and Temperature sensitive"	"Subunit of the oligosaccharyltransferase complex of the ER lumen"	"Subunit of the oligosaccharyltransferase complex of the ER lumen; complex catalyzes asparagine-linked glycosylation of newly synthesized proteins; forms a subcomplex with Ost3p and Ost4p and is directly involved in catalysis"	"Verified"	NA	NA	"3669-YGL022W"	NA
"S000002991"	"YGL023C"	"S. cerevisiae"	"PIB2"	"PhosphatidylInositol(3)-phosphate Binding"	"Protein of unknown function"	"Protein of unknown function; contains FYVE domain; similar to Fab1 and Vps27"	"Verified"	"Protein whose biological role is unknown; localizes to the mitochondrion in a large-scale study|uniprot_proteome=UP000002311"	NA	"3670-YGL023C"	NA
"S000002992"	"YGL024W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially/completely overlaps the verified ORF PGD1/YGL025C"	"Dubious"	NA	NA	"3671-YGL024W"	NA
"S000002993"	"YGL025C"	"S. cerevisiae"	"PGD1"	"PolyGlutamine Domain"	"Subunit of the RNA polymerase II mediator complex"	"Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor"	"Verified"	NA	NA	"3672-YGL025C"	NA
"S000002994"	"YGL026C"	"S. cerevisiae"	"TRP5"	"TRyPtophan"	"Tryptophan synthase"	"Tryptophan synthase; catalyzes the last step of tryptophan biosynthesis; regulated by the general control system of amino acid biosynthesis"	"Verified"	"Tryptophan synthase; catalyzes the final step in the biosynthesis of tryptophan; localizes to both the nucleus and cytoplasm in high-throughput studies|uniprot_proteome=UP000002311"	NA	"3673-YGL026C"	NA
"S000002995"	"YGL027C"	"S. cerevisiae"	"CWH41"	"Calcofluor White Hypersensitive"	"Processing alpha glucosidase I"	"Processing alpha glucosidase I; ER type II integral membrane N-glycoprotein involved in assembly of cell wall beta 1,6 glucan and asparagine-linked protein glycosylation; also involved in ER protein quality control and sensing of ER stress"	"Verified"	"Mannosyl-oligosaccharide glucosidase involved in fungal-type cell wall biogenesis and protein N-linked glycosylation; localized to the endoplasmic reticulum membrane|uniprot_proteome=UP000002311"	NA	"3674-YGL027C"	NA
"S000002996"	"YGL028C"	"S. cerevisiae"	"SCW11"	"Soluble Cell Wall protein"	"Cell wall protein with similarity to glucanases"	"Cell wall protein with similarity to glucanases; may play a role in conjugation during mating based on its regulation by Ste12p"	"Verified"	NA	NA	"3675-YGL028C"	NA
"S000002997"	"YGL029W"	"S. cerevisiae"	"CGR1"	"Coiled-coil Growth-Regulated"	"Protein involved in nucleolar integrity and processing of pre-rRNA"	"Protein involved in nucleolar integrity and processing of pre-rRNA; has a role in processing rRNA for the 60S ribosome subunit; transcript is induced in response to cytotoxic stress but not genotoxic stress; relocalizes from nucleus to nucleolus upon DNA replication stress"	"Verified"	NA	NA	"3676-YGL029W"	NA
"S000002998"	"YGL030W"	"S. cerevisiae"	"RPL30"	"Ribosomal Protein of the Large subunit"	"Ribosomal 60S subunit protein L30"	"Ribosomal 60S subunit protein L30; involved in pre-rRNA processing in the nucleolus; autoregulates splicing of its transcript; homologous to mammalian ribosomal protein L30, no bacterial homolog"	"Verified"	"RNA-binding subunit of the cytosolic large ribosomal subunit; involved in rRNA processing, translation, and the regulation of mRNA splicing|uniprot_proteome=UP000002311"	"Essential gene; reduction-of-function mutations result in slow growth and increased chromosome instability; heterozygous null mutant diploid is sensitive to starvation and oxidative stress"	"3677-YGL030W_NumOfGenes_2"	NA
"S000002999"	"YGL031C"	"S. cerevisiae"	"RPL24A"	"Ribosomal Protein of the Large subunit"	"Ribosomal 60S subunit protein L24A"	"Ribosomal 60S subunit protein L24A; not essential for translation but may be required for normal translation rate; homologous to mammalian ribosomal protein L24, no bacterial homolog; RPL24A has a paralog, RPL24B, that arose from the whole genome duplication"	"Verified"	"RNA-binding subunit of the cytosolic large ribosomal subunit; involved in translation|uniprot_proteome=UP000002311"	NA	"3678-YGL031C_NumOfGenes_2"	NA
"S000003000"	"YGL032C"	"S. cerevisiae"	"AGA2"	"a-AGglutinin"	"Adhesion subunit of a-agglutinin of a-cells"	"Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds"	"Verified"	"Cell adhesion protein involved in agglutination during mating; localizes to cell wall|uniprot_proteome=UP000002311"	"Non-essential gene; null mutant shows reduced mating efficiency, elevated sensitivity to copper, and increased resistance to Calcofluor White"	"3679-YGL032C"	NA
"S000003001"	"YGL033W"	"S. cerevisiae"	"HOP2"	"HOmologous Pairing"	"Meiosis-specific protein that localizes to chromosomes"	"Meiosis-specific protein that localizes to chromosomes; prevents synapsis between nonhomologous chromosomes and ensures synapsis between homologs; complexes with Mnd1p to promote homolog pairing and meiotic double-strand break repair; heterodimer of Hop2p-Mnd1p stimulates the Dmc1p-mediated strand invasion"	"Verified"	NA	NA	"3680-YGL033W"	NA
"S000003002"	"YGL034C"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function; conserved among S. cerevisiae strains; YGL034C is not an essential gene"	"Uncharacterized"	NA	NA	"3681-YGL034C"	NA
"S000003003"	"YGL035C"	"S. cerevisiae"	"MIG1"	"Multicopy Inhibitor of GAL gene expression"	"Transcription factor involved in glucose repression"	"Transcription factor involved in glucose repression; sequence specific DNA binding protein containing two Cys2His2 zinc finger motifs; regulated by the SNF1 kinase and the GLC7 phosphatase; regulates filamentous growth along with Mig2p in response to glucose depletion; activated in stochastic pulses of nuclear localization, shuttling between cytosol and nucleus depending on external glucose levels and its phosphorylation state"	"Verified"	"Sequence-specific DNA binding transcription factor involved in the regulation of transcription by RNA polymerase II in response to glucose and starvation|uniprot_proteome=UP000002311"	"Non-essential gene; null muants exhibit accelerated growth, decreased replicative lifespan, increased chronological lifespan, decreased ethanol tolerance, have abnormal vacuolar morphology, are tolerant of zinc deficiency and of heat shock; overexpression shortens replicative lifespan, slows vegetative growth, enhances filamentous growth, interferes with cell cycle progression and budding"	"3682-YGL035C"	NA
"S000003004"	"YGL036W"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YGL036W is not an essential gene"	"Uncharacterized"	"Protein whose biological role is unknown; localizes to the cytoplasm in a large-scale study|uniprot_proteome=UP000002311"	NA	"3683-YGL036W"	NA
"S000003005"	"YGL037C"	"S. cerevisiae"	"PNC1"	"Pyrazinamidase and NiCotinamidase"	"Nicotinamidase that converts nicotinamide to nicotinic acid"	"Nicotinamidase that converts nicotinamide to nicotinic acid; part of the NAD(+) salvage pathway; required for life span extension by calorie restriction; lacks a peroxisomal targeting signal but is imported into peroxisomes via binding to Gpd1p; PNC1 expression responds to all known stimuli that extend replicative life span; protein increases in abundance and relative distribution to cytoplasmic foci decreases upon DNA replication stress"	"Verified"	NA	NA	"3684-YGL037C"	NA
"S000003006"	"YGL038C"	"S. cerevisiae"	"OCH1"	"Outer CHain elongation"	"Mannosyltransferase of the cis-Golgi apparatus"	"Mannosyltransferase of the cis-Golgi apparatus; initiates the polymannose outer chain elongation of N-linked oligosaccharides of glycoproteins"	"Verified"	NA	NA	"3685-YGL038C"	NA
"S000003007"	"YGL039W"	"S. cerevisiae"	NA	NA	"Aldehyde reductase"	"Aldehyde reductase; reduces aliphatic aldehyde substrates using NADH as cofactor; shown to reduce carbonyl compounds to chiral alcohols"	"Verified"	"Reductase with a role in metabolizing ketones and furfural|uniprot_proteome=UP000002311"	NA	"3686-YGL039W"	NA
"S000003008"	"YGL040C"	"S. cerevisiae"	"HEM2"	"HEMe biosynthesis"	"Aminolevulinate dehydratase"	"Aminolevulinate dehydratase; a homo-octameric enzyme, catalyzes the conversion of 5-aminolevulinate to porphobilinogen, the second step in heme biosynthesis; enzymatic activity is zinc-dependent; localizes to the cytoplasm and nucleus; human homolog ALAD can complement yeast hem2 mutant"	"Verified"	"Porphobilinogen synthase involved in the biosynthesis of heme; catalyzes the asymmetric condensation and cyclization of two 5-aminolevulinate molecules into porphobilinogen; localizes to both the nucleus and the cytoplasm|uniprot_proteome=UP000002311"	"Essential gene on standard rich medium due to heme auxotrophy; mutants lack ergosterol; in large-scale studies, repressing expression confers increased competitive fitness; heterozygous null diploid shows haploinsufficiency"	"3687-YGL040C"	NA
